month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
2016-10;9.36;0;0;0;0
2016-11;4.8;0;0;0;0
2016-12;1.06;0;0;0;5
2017-1;-5.57;0;0;0;17
2017-2;3.58;0;0;0;0
2017-3;8.61;0;0;0;0
2017-4;8.81;0;0;0;0
2017-5;15.16;1;9;0;0
2017-6;20.25;3;20;1;0
2017-7;20.01;2;19;0;0
2017-8;20.74;9;20;1;0
2017-9;13.22;0;0;0;0
2017-10;12.09;0;0;0;0
2017-11;4.88;0;0;0;0
2017-12;0.62;0;0;0;3
2018-1;3.57;0;0;0;0
2018-2;-2.31;0;0;0;9
2018-3;3.81;0;0;0;4
2018-4;14.67;0;6;0;0
2018-5;16.72;0;8;0;0
2018-6;18.7;1;13;0;0
