year;region;energy_co2e_t;energy_co2e_t_percapita;industry_co2e_t;industry_co2e_t_percapita;traffic_co2e_t;traffic_co2e_t_percapita;buildings_co2e_t;buildings_co2e_t_percapita;agriculture_co2e_t;agriculture_co2e_t_percapita;waste_co2e_t;waste_co2e_t_percapita;fluorinated_gases_co2e_t;fluorinated_gases_co2e_t_percapita;total_co2e_t;total_co2e_t_percapita;population
1996;Tirol;45222.33595224;0.06898612;1043556.97379963;1.59193349;1347460.53185166;2.05553467;1148682.03079458;1.75230048;675201.09277013;1.03001106;296313.89240691;0.45202324;56722.89213716;0.08653008;4613159.74971231;7.03731915;655528
1997;Tirol;54882.07886000;0.08324447;1191270.14390000;1.80690403;1269944.31371515;1.92623605;1041758.29200014;1.58012628;682829.67885978;1.03570773;288388.93242307;0.43742482;65273.41040174;0.09900591;4594346.85015989;6.96864929;659288
1998;Tirol;46164.74111009;0.06968568;1075480.30322794;1.62343756;1431559.17059802;2.16093862;1127535.71459494;1.70201520;678490.63313099;1.02418164;282534.49341864;0.42648583;74681.98105912;0.11273245;4716447.03713974;7.11947698;662471
1999;Tirol;56830.11232114;0.08535959;777045.91858680;1.16713342;1385255.48280644;2.08067237;1092084.54766322;1.64032568;678027.61692285;1.01840660;280121.56277057;0.42074635;78382.81600006;0.11773204;4347748.05707108;6.53037605;665773
2000;Tirol;73334.79902146;0.10954010;880532.59289594;1.31525051;1462176.32872104;2.18405107;1038772.56601721;1.55161337;657823.77572541;0.98259061;271467.21246895;0.40549026;73754.39875788;0.11016686;4457861.67360790;6.65870277;669479
2001;Tirol;50399.92361892;0.07482229;876231.71367318;1.30082871;1570465.49182327;2.33146845;1140790.58235289;1.69358529;668337.26860683;0.99219452;255784.55064080;0.37973048;88272.92130870;0.13104747;4650282.45202459;6.90367721;673595
2002;Tirol;62004.99224029;0.09157976;935556.51308856;1.38179262;1741953.72672098;2.57282032;1122263.80624566;1.65755444;649724.13865526;0.95962564;251883.67565052;0.37202563;98207.71620094;0.14505024;4861594.56880221;7.18044866;677060
2003;Tirol;48361.85196650;0.07104671;972691.70959022;1.42894750;1887317.21647308;2.77259197;1235655.71569643;1.81525876;646349.54768136;0.94952960;245698.65434158;0.36094733;96329.47733031;0.14151428;5132404.17307948;7.53983616;680705
2004;Tirol;38597.44532767;0.05630513;1014726.25490042;1.48026091;1936173.88477816;2.82444896;1169061.99066919;1.70540257;653486.61696565;0.95329227;251391.11770410;0.36672397;96092.74768540;0.14017804;5159530.05803059;7.52661185;685505
2005;Tirol;43825.96833891;0.06345446;1045142.07724395;1.51323368;1955411.09145900;2.83118820;1186076.17591132;1.71728845;634424.72379909;0.91856684;256213.03591676;0.37096410;111909.55434365;0.16203090;5233002.62701267;7.57672663;690668
2006;Tirol;33441.86620070;0.04809731;1070166.41110694;1.53915226;1844934.26207209;2.65345157;1176990.88366368;1.69279110;629127.99340038;0.90483477;271781.96090671;0.39088670;102193.76377791;0.14697879;5128637.14112840;7.37619250;695296
2007;Tirol;31037.44882599;0.04447499;1056091.78252764;1.51332250;1866803.54050101;2.67502868;1036197.28652717;1.48481477;632689.47357361;0.90660986;275971.82912649;0.39545273;106663.87568487;0.15284357;5005455.23676677;7.17254710;697863
2008;Tirol;34077.34606239;0.04864287;1044635.54710759;1.49113932;1758699.71365634;2.51041266;1078146.73441373;1.53897404;642058.63268369;0.91649081;270465.78072104;0.38606973;111274.91721902;0.15883664;4939358.67186380;7.05056608;700562
2009;Tirol;30417.84741393;0.04328606;958739.75875032;1.36433267;1713845.97126671;2.43888503;978527.52371483;1.39249161;636848.26955307;0.90626564;233490.06543715;0.33226756;117494.90635550;0.16720089;4669364.34249152;6.64472945;702717
2010;Tirol;28148.85787565;0.03992882;981163.56195603;1.39176874;1789912.97757520;2.53897009;953497.73230723;1.35252510;628962.44561439;0.89217568;213374.30851955;0.30266890;123185.22891858;0.17473677;4718245.11276662;6.69277410;704976
2011;Tirol;26328.23186680;0.03716425;1015783.15256901;1.43385315;1734811.63134129;2.44881510;822373.33144796;1.16084086;627315.93895500;0.88550291;206127.76202232;0.29096460;125476.16309815;0.17711890;4558216.21130054;6.43425977;708429
2012;Tirol;38254.56846115;0.05366434;979288.57545195;1.37376720;1741583.22023647;2.44313062;959591.20174176;1.34613530;631988.66549300;0.88656737;188717.34470674;0.26473677;129859.40774293;0.18216959;4669282.98383399;6.55017119;712849
2013;Tirol;53034.17789990;0.07382479;981808.86222250;1.36670039;1836610.98675142;2.55660450;960318.07333676;1.33678472;639126.95645857;0.88967934;171871.22682596;0.23924868;129788.87829204;0.18066909;4772559.16178715;6.64351152;718379
2014;Tirol;82686.01003208;0.11406886;913439.02667142;1.26012795;1797352.27910666;2.47952384;874127.07932648;1.20589545;650637.69467622;0.89758234;156495.82891104;0.21589265;132777.00226714;0.18317152;4607514.92099104;6.35626260;724878
2015;Tirol;88882.07655026;0.12131240;912406.24556106;1.24531508;1833688.62796971;2.50274493;970842.91199076;1.32507348;647276.49922164;0.88344769;144818.56419042;0.19765838;140841.83088953;0.19223066;4738756.75637338;6.46778262;732671
2016;Tirol;90865.96648336;0.12236357;933587.99282295;1.25720518;1929696.52252242;2.59860289;870018.61435401;1.17160023;662956.47074393;0.89276245;131673.63421342;0.17731673;151984.15390327;0.20466765;4770783.35504335;6.42451872;742590
2017;Tirol;89878.95032677;0.12012915;991581.82990959;1.32531460;1985955.12346587;2.65436018;891013.15634918;1.19089793;661258.50843130;0.88381567;125010.52232801;0.16708482;163277.66024661;0.21823138;4907975.75105733;6.55983372;748186
2018;Tirol;92240.41450381;0.12261741;982771.29374528;1.30642156;1974025.18845646;2.62411924;844842.52671119;1.12306952;656823.40268819;0.87313117;115094.48684986;0.15299787;160207.82971988;0.21296813;4826005.14267467;6.41532490;752262
2019;Tirol;94347.18066621;0.12484823;900567.33558431;1.19170742;1982398.20698052;2.62327818;901961.65915462;1.19355250;651812.13460941;0.86253334;109583.52878854;0.14501026;154853.03855315;0.20491473;4795523.08433675;6.34584467;755695
1990;Vorarlberg;4651.87833745;0.01424361;370699.06983493;1.13504556;583450.75726807;1.78647115;622417.58030578;1.90578388;242310.64699472;0.74193233;184427.38103618;0.56469923;5614.00267030;0.01718955;2013571.31644742;6.16536531;326594
1991;Vorarlberg;5173.08666828;0.01558487;375009.12559809;1.12978377;644623.90630028;1.94204774;690021.94314741;2.07881765;234118.10015702;0.70532371;187360.04677869;0.56445650;7845.96483210;0.02363741;2144152.17348187;6.45965165;331930
1992;Vorarlberg;3136.56957249;0.00933059;384366.69972097;1.14340403;640737.13516530;1.90604812;685853.52257956;2.04025917;226706.81455668;0.67440152;187761.52869568;0.55854810;8066.49213523;0.02399599;2136628.76242590;6.35598751;336160
1993;Vorarlberg;13534.20747069;0.03996636;381424.45777658;1.12634201;642983.15178760;1.89872180;611990.92956012;1.80720213;220308.93511945;0.65056974;179369.93770746;0.52967735;18007.75908686;0.05317670;2067619.37850876;6.10565609;338640
1994;Vorarlberg;13631.08319755;0.04003596;370758.25735506;1.08895694;643500.54165086;1.89003040;550142.48171496;1.61582773;218132.47934608;0.64067859;172472.20537730;0.50656944;20277.11041536;0.05955606;1988914.15905718;5.84165512;340471
1995;Vorarlberg;9932.99248978;0.02904800;385688.97703096;1.12790715;651016.01462652;1.90382837;647838.69066384;1.89453662;221835.51430172;0.64873480;165821.85051948;0.48492869;26195.68335100;0.07660654;2108329.72298331;6.16559017;341951
1996;Vorarlberg;7794.58811930;0.02271581;446746.59992669;1.30195579;706221.03012515;2.05814338;741217.99427756;2.16013521;224365.45590729;0.65386934;158104.84006101;0.46076570;29691.49997175;0.08653008;2314142.00838875;6.74411531;343135
1997;Vorarlberg;7883.16472215;0.02289262;412108.15108950;1.19675726;666985.51477902;1.93691816;665823.94604867;1.93354497;228525.79795317;0.66363625;150853.10047597;0.43807564;34093.08218181;0.09900591;2166272.75725027;6.29083082;344354
1998;Vorarlberg;9069.47308024;0.02623009;386339.33251549;1.11734333;745010.42740936;2.15466653;685636.06415529;1.98294819;229761.85127031;0.66450100;140895.03428364;0.40748667;38979.04944199;0.11273245;2235691.23215633;6.46590825;345766
1999;Vorarlberg;8179.80900350;0.02354288;260978.48048272;0.75114042;718190.02773380;2.06707295;735216.00941108;2.11607662;230384.04072001;0.66308442;134787.78636505;0.38794216;40905.17449568;0.11773204;2128641.32821183;6.12659149;347443
2000;Vorarlberg;3588.05631086;0.01027340;274739.71460985;0.78664054;751272.82725799;2.15106019;673733.38597186;1.92904762;222724.69251061;0.63771003;126346.26119123;0.36175728;38476.54675797;0.11016686;2090881.48461038;5.98665591;349257
2001;Vorarlberg;3375.67821273;0.00960757;288174.36616813;0.82017773;804154.01027270;2.28871575;674342.58513846;1.91925735;219971.57745726;0.62606467;118560.43212478;0.33743677;46044.31526264;0.13104747;2154622.96463670;6.13230730;351356
2002;Vorarlberg;2719.43550722;0.00768995;242397.60735158;0.68544575;889195.29959986;2.51444370;685572.12992907;1.93864332;218229.24558238;0.61710307;116094.34726405;0.32828862;51294.84199143;0.14505024;2205502.90722559;6.23666466;353635
