year,region,classification,pollutant,unit,source,data_status,energy_industry_co2e_t,energy_co2e_t,industry_co2e_t,traffic_co2e_t,buildings_co2e_t,agriculture_co2e_t,waste_co2e_t,fluorinated_gases_co2e_t,total_co2e_t,population,energy_co2e_t_percapita,industry_co2e_t_percapita,energy_industry_co2e_t_percapita,traffic_co2e_t_percapita,buildings_co2e_t_percapita,agriculture_co2e_t_percapita,waste_co2e_t_percapita,fluorinated_gases_co2e_t_percapita,total_co2e_t_percapita,international_flight_co2e_t
2003,Oberösterreich,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1382532,,,,,,,,,,
2003,Oberösterreich,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,14561156.15,1865584.643,12695571.51,4344960.9,2223678.593,2305864.523,478866.5339,211899.8094,24126426.51,1382532,1.34939707941661,9.18284098306585,10.5322380603125,3.14275611703744,1.60841021618306,1.66785616752451,0.346369222484543,0.153269370546215,17.4508991545946,
2003,Oberösterreich,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1382532,,,,,,,,,,
2003,Salzburg,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,517084,,,,,,,,,,
2003,Salzburg,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,966793.4496,223110.2132,743683.2364,1480750.268,930191.9894,602389.6155,132283.6861,77514.43574,4189923.445,517084,0.431477696467112,1.43822519435914,1.86970289082625,2.86365516627859,1.79891853045153,1.16497438617323,0.255826299208639,0.149906854089471,8.1029841283041,
2003,Salzburg,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,517084,,,,,,,,,,
2003,Steiermark,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1189315,,,,,,,,,,
2003,Steiermark,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,8483575.622,3305483.701,5178091.92,3633529.632,1946988.574,1408600.335,722188.2165,207623.3119,16402505.69,1189315,2.77931725489042,4.35384395219097,7.13316120792221,3.05514487919517,1.63706719750445,1.18437952518887,0.607230394386685,0.174573861340351,13.7915570643606,
2003,Steiermark,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1189315,,,,,,,,,,
2003,Tirol,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,679457,,,,,,,,,,
