month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
2010-2;1.57;0;0;0;5
2010-3;5.5;0;0;0;4
2010-4;10.61;0;2;0;0
2010-5;13.19;0;3;0;0
2010-6;17.71;5;14;1;0
2010-7;20.91;12;19;1;0
2010-8;18.24;1;13;0;0
2010-9;14.2;0;1;0;0
2010-10;10.25;0;0;0;0
2010-11;5.82;0;0;0;2
2010-12;-1.27;0;0;0;11
2011-1;0.9;0;0;0;7
2011-2;1.84;0;0;0;3
2011-3;7.64;0;0;0;0
2011-4;12.94;0;3;0;0
2011-5;15.62;1;14;0;0
2011-6;18.17;2;13;0;0
2011-7;18.04;1;15;0;0
2011-8;20.55;8;20;0;0
2011-9;16.87;1;8;0;0
2011-10;10.49;0;0;0;0
2011-11;6.04;0;0;0;0
2011-12;1.84;0;0;0;3
2012-1;0.05;0;0;0;4
2012-2;-3.82;0;0;0;14
2012-3;8.15;0;0;0;0
2012-4;10.73;0;4;0;0
2012-5;15.43;1;6;0;0
2012-6;19.18;6;15;0;0
2012-7;19.51;4;15;0;0
2012-8;20.58;6;19;0;0
2012-9;16.04;0;7;0;0
2012-10;10.78;0;0;0;0
2012-11;6.28;0;0;0;0
2012-12;0.76;0;0;0;6
2013-1;0.32;0;0;0;5
2013-2;-0.64;0;0;0;8
2013-3;4.95;0;0;0;1
2013-4;11.07;0;3;0;0
2013-5;13.51;0;1;0;0
2013-6;17.01;4;11;0;0
2013-7;21.57;9;25;0;0
2013-8;20.02;8;16;1;0
2013-9;14.97;0;5;0;0
2013-10;12.1;0;0;0;0
2013-11;4.13;0;0;0;2
2013-12;2.42;0;0;0;0
2014-1;3.06;0;0;0;0
2014-2;5.64;0;0;0;0
2014-3;8.65;0;0;0;0
2014-4;11.53;0;0;0;0
2014-5;13.87;1;5;0;0
2014-6;18.51;5;12;0;0
2014-7;19.44;4;13;0;0
2014-8;17.58;0;8;0;0
2014-9;15.72;0;6;0;0
2014-10;12.61;0;1;0;0
2014-11;8.42;0;0;0;0
2014-12;2.46;0;0;0;4
2015-1;1.64;0;0;0;0
2015-2;0.46;0;0;0;5
2015-3;6.85;0;0;0;0
2015-4;10.55;0;1;0;0
2015-5;14.74;1;6;0;0
2015-6;18.7;3;15;0;0
2015-7;22.46;15;24;1;0
2015-8;21.38;16;22;1;0
2015-9;14.39;2;5;0;0
2015-10;10.83;0;0;0;0
2015-11;6.88;0;0;0;0
2015-12;2.91;0;0;0;0
2016-1;0.52;0;0;0;3
2016-2;4.61;0;0;0;0
2016-3;6.06;0;0;0;0
2016-4;10.94;0;0;0;0
2016-5;13.87;0;5;0;0
2016-6;18.14;4;8;0;0
2016-7;20.19;4;22;0;0
2016-8;19.42;4;21;0;0
2016-9;17.44;0;11;0;0
2016-10;10.44;0;0;0;0
2016-11;5.74;0;0;0;0
2016-12;1.15;0;0;0;0
2017-1;-4.21;0;0;0;15
2017-2;4.27;0;0;0;0
2017-3;9.24;0;0;0;0
2017-4;9.31;0;0;0;0
2017-5;15.87;3;11;0;0
2017-6;20.49;8;17;0;0
2017-7;19.75;2;19;0;0
2017-8;20.58;8;22;2;0
2017-9;13.27;0;1;0;0
2017-10;11.67;0;0;0;0
2017-11;4.31;0;0;0;0
2017-12;0.62;0;0;0;1
2018-1;2.39;0;0;0;0
2018-2;-1.01;0;0;0;5
2018-3;5.16;0;0;0;1
2018-4;14.72;0;8;0;0
2018-5;17.15;1;13;0;0
2018-6;18.81;2;16;0;0
2018-7;20.18;6;21;0;0
2018-8;21.34;14;24;0;0
2018-9;17.12;0;14;0;0
2018-10;12.5;0;1;0;0
2018-11;6.86;0;0;0;0
2018-12;2.06;0;0;0;4
2019-1;-1.66;0;0;0;10
2019-2;3.14;0;0;0;0
2019-3;7.81;0;0;0;0
2019-4;11.37;0;1;0;0
2019-5;11.45;0;0;0;0
2019-6;21.81;13;27;1;0
2019-7;20.71;8;18;0;0
2019-8;20.2;2;18;0;0
2019-9;15.75;0;7;0;0
2019-10;12.35;0;0;0;0
2019-11;5.95;0;0;0;0
2019-12;3.77;0;0;0;0
2020-1;1.35;0;0;0;0
